,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
0,-0.5035216666313644,-0.3582574733431898,-0.4849239024833913,-0.5035726884179907,-0.4992293781007551,-0.4504922695781676,0.022791312852954913,-0.47055384232599434,-0.49549962091383515,1.8860552928120693,-0.38005475560440993,2.70062780398137,-0.46336881224729587
1,-0.5034884461781061,-0.5037220072723315,-0.44325782066765196,-0.5037220072723315,-0.49971101667578344,-0.4488082106402739,0.17104805257338485,-0.4612422814895728,-0.4866175697603995,1.5659149316714374,-0.35149251341613696,2.8906536169705683,-0.42555472784280235
2,-0.4900167060764081,-0.4902519079047772,-0.42931834518697,-0.4902519079047772,-0.48620978047696223,-0.4283272051993394,0.03634507682761581,-0.44744241718686767,-0.4730146907285941,1.595451370413375,-0.3368406750367478,2.8953961037552216,-0.45551891529476823
3,-0.47305929122237805,-0.47334271066535755,-0.45425545747736396,-0.47334271066535755,-0.4693326363717332,-0.4120708768077524,-0.0723352813029229,-0.42026438668542415,-0.4470758484800452,1.4704050910477537,-0.30961260304357746,2.981887897397909,-0.4476011857237515
4,-0.47994575962992525,-0.48054818451215503,-0.4615288326908523,-0.48054818451215503,-0.47655237573501896,-0.41819437374754476,-0.007681730973344567,-0.42765868239697097,-0.4543747645745825,1.4562848908682124,-0.31740053356795295,2.982195273228691,-0.4340467417564012
5,-0.48340100442329026,-0.48366280935861,-0.46454271692989935,-0.48366280935861,-0.47964583581166076,-0.42726730737851387,0.031176376680525742,-0.4304931651745138,-0.45735075555763205,1.4634291719137602,-0.31965100733251395,2.9730394053218703,-0.4379675425909116
6,-0.5137596432850734,-0.41474793913461533,-0.4516827523244676,-0.5144639574657498,-0.5102838619773087,-0.4665045412892074,0.016822988202534767,-0.47010628387132797,-0.47457755013329606,1.9664705786128767,-0.39320927917509024,2.641348590677995,-0.4153063488372697
7,-0.5353727394697103,-0.43705477910209345,-0.4738978043664154,-0.536522989858902,-0.5323532824639766,-0.48740956611562025,0.2281886144394423,-0.4891721428102309,-0.49673570555617863,1.9382460937704955,-0.4155696455786228,2.621791638091284,-0.3841376909794713
8,-0.5471576200112103,-0.44758215356460795,-0.4850989094983042,-0.5488692916145438,-0.5446233347874905,-0.5032414616658087,0.26142781278494326,-0.49958621142786264,-0.5083544363945695,1.971154703067861,-0.4257041317458218,2.583982403125193,-0.3063473682677773
9,-0.5308523215687102,-0.4310235162329514,-0.46851004244265226,-0.5322290405571978,-0.5279865049775253,-0.48361800311377573,0.16325532259902348,-0.4788564856053686,-0.4917468308274992,1.9857644046300524,-0.4091631229789141,2.5987460243571476,-0.39377988328162866
10,-0.5363289659000837,-0.4378857377075686,-0.47501714806000905,-0.5381325259161011,-0.5339301805543994,-0.48699062444363617,0.21812924432906797,-0.48723362265825365,-0.4980338106326881,1.9560075647121873,-0.4162324314545256,2.6097770186929528,-0.3741287804069419
11,-0.5239854866783902,-0.4254475923146671,-0.46229228002420936,-0.5249202913145111,-0.5207503957724376,-0.47710177545130605,0.13478264845245438,-0.4753693589255248,-0.4851312117145735,1.9499604598016076,-0.40396148933070075,2.633536847328535,-0.41932007405627675
12,-0.49929873010940246,-0.39957677377023,-0.43679299739437727,-0.5000525394941697,-0.4958405953950222,-0.4527163967463072,-0.1865681504354776,-0.4562378713833999,-0.45986223320459385,1.9997845117174526,-0.3778740083738589,2.6388103817217097,-0.3737745971323222
13,-0.4970406536503016,-0.5020598032379974,-0.43718448939805216,-0.5020598032379974,-0.4977719753699519,-0.45464662854096616,-0.009517494232025256,-0.4645413093925991,-0.4701800421372872,1.9447118612415082,-0.33469105745926897,2.661209491979969,-0.43622809656503087
14,-0.5154139701146093,-0.5206373112700867,-0.45399050425148696,-0.5206373112700867,-0.5162323994548526,-0.47072589412200516,0.17121222104830147,-0.4841051996931469,-0.4878870375508731,1.9929461966795603,-0.3486983742442151,2.5908024434238053,-0.43663285918030376
15,-0.4939217257509707,-0.49893180018528965,-0.4339291608455553,-0.49893180018528965,-0.49463555694637357,-0.4523439134644039,-0.04774640427681422,-0.4630078599723008,-0.46698947127141527,1.952641943954568,-0.3312345733874492,2.6603242410414545,-0.43129391871016065
16,-0.4730264326788256,-0.4815406537318742,-0.4157812964958002,-0.4815406537318742,-0.47719439646000594,-0.43359448847436816,-0.2448392818624677,-0.44519851067754956,-0.449226473271887,1.9985726965721464,-0.3118912063169412,2.6436445240046416,-0.4283838268751952
17,-0.5144069465396804,-0.5207663296334151,-0.45475590068289207,-0.5207663296334151,-0.516403478186808,-0.47219108769070833,0.14177077666360283,-0.4862373609075635,-0.48832877240957084,1.9688161872966277,-0.350469154208233,2.6155399844470213,-0.4018015885149664
18,-0.49627063790399656,-0.5039135932561981,-0.42640906912304827,-0.5039135932561981,-0.49879105836877374,-0.45196461491830303,-0.15542887786635984,-0.4677654451147358,-0.46582783201140704,2.419168582281516,-0.303963346721045,2.2476874422768445,-0.39260795601829623
19,-0.5036331755408249,-0.5094765750662162,-0.44394161758938233,-0.5094765750662162,-0.5051451491297867,-0.46336862648269933,0.050066366535744165,-0.4789110386951106,-0.4772726647581898,1.9621735410748178,-0.34040604594907714,2.638053108664524,-0.41866154799758154
20,-0.5264881089063504,-0.5368017412952314,-0.469735406170737,-0.5368017412952314,-0.5323691014553079,-0.49090991246925675,0.27145470535254534,-0.5055104348862244,-0.5038453112586249,1.992604264014325,-0.36378048360304677,2.565798973426005,-0.3636157014528638
21,-0.516067160117687,-0.5229048287662337,-0.45758087355383836,-0.5229048287662337,-0.5185873486797142,-0.475035370186143,0.19293015955632942,-0.49070589688678734,-0.49080460507463897,1.940787339563664,-0.35437865438536126,2.6271703726491884,-0.41191830535254487
22,-0.5174630490504146,-0.5272941671537488,-0.46236333608999913,-0.5272941671537488,-0.5230026699655059,-0.47830090371473766,0.20417477738505263,-0.49557138803121487,-0.4953871248619799,1.9215713287395122,-0.3597821951219622,2.6386821042470174,-0.3779692092282705
23,-0.5249245967457914,-0.5328307153221811,-0.46772159761853754,-0.5328307153221811,-0.5285274345697781,-0.4863344866721467,0.26703559553339007,-0.5000745901600238,-0.5008360628879582,1.9227588590044224,-0.3648587900425111,2.6229618275273894,-0.37381729272409353
24,-0.5212029919212849,-0.5272066766412619,-0.4620692661160951,-0.5272066766412619,-0.5229015259210481,-0.47980200588559996,0.22579459245188113,-0.4920004664021312,-0.4951981211006394,1.9294499611015108,-0.359161760052994,2.62827674994215,-0.3967718128132254
25,-0.5337058431722383,-0.5415204068179618,-0.46584221413684135,-0.5415204068179618,-0.5365185803238042,-0.4894660823927046,0.25523894364543115,-0.5001056553293476,-0.504332105746158,2.312681700442967,-0.3462818261909927,2.2793981709837032,-0.38802569414409227
26,-0.5225871443615782,-0.5281194548979967,-0.4610970742719493,-0.5281194548979967,-0.5236897201588305,-0.4802569120749975,0.2153843498356746,-0.489569235476479,-0.49518462412352626,1.9996288070426136,-0.3552115933320267,2.5750003006726128,-0.4061782439555197
27,-0.5352372235658137,-0.5440787557753735,-0.4687781372313555,-0.5440787557753735,-0.5391018844268868,-0.4881398319012117,0.27738253743209523,-0.5028817318657998,-0.507075994820082,2.29588314754324,-0.3498142607600937,2.29014771959517,-0.38422682844851463
28,-0.5204949561133912,-0.526740254305843,-0.46097390896300844,-0.526740254305843,-0.5223935351664764,-0.47426452789285645,0.23595544598452367,-0.49074893506767037,-0.49442263988675966,1.953636652358803,-0.3570727786056555,2.607583580128954,-0.42332388816477634
29,-0.5158756921986726,-0.5240835395216408,-0.4574349513536912,-0.5240835395216408,-0.5196785099842506,-0.46943824745371754,0.19071028689875208,-0.48937550939339286,-0.4913323905447614,1.9895671444538532,-0.3521400073930239,2.589158804348073,-0.42599384833588694
30,-0.5304671086880245,-0.5400480338881937,-0.4710808942896959,-0.5400480338881937,-0.5354897634822978,-0.49164394684566076,0.2572256560649557,-0.5041834267726604,-0.5061575475990056,2.061046788806991,-0.36212298086995626,2.5115360778060234,-0.348566786354281
31,-0.5213197765243806,-0.5324560247934329,-0.4655425217004789,-0.5324560247934329,-0.5280334861369208,-0.4825421684322023,0.2895771827367148,-0.4981361383790493,-0.499574696492227,1.9911859223241204,-0.3598290512121019,2.5643896779348925,-0.4252628945315017
32,-0.5429513468264915,-0.5574380352892099,-0.47247946636109955,-0.5574380352892099,-0.5518228374902758,-0.4953368700407754,0.2984099563698871,-0.5157937244755538,-0.515689352769254,2.6467733481174096,-0.3382574520594412,1.8702478532462288,-0.26822403713221504
33,-0.5274264593948158,-0.5371941220069184,-0.4681593100191827,-0.5371941220069184,-0.5326313789050263,-0.48884431081010254,0.26849471568778505,-0.5050751244688407,-0.5032703814724045,2.066452964017018,-0.35909448420072076,2.505510975884963,-0.38156896230483617
34,-0.5429548775663765,-0.559293991666301,-0.4768294954587977,-0.559293991666301,-0.5538436355287536,-0.49753679647208227,0.42237795950164425,-0.5212043094991056,-0.5187708977068399,2.5508534697223384,-0.34654774837913027,1.9562783736021454,-0.3532340588824413
35,-0.5017566651887589,-0.502284521870951,-0.4532580947887528,-0.502284521870951,-0.49817979248940447,-0.45348019437452786,0.05872257997567882,-0.4746429945346572,-0.46115496894964375,1.7927445311379888,-0.3443470386531314,2.7625793890224117,-0.42265770741530023
36,-0.5031756199926071,-0.50400546033025,-0.45324757432500323,-0.50400546033025,-0.49975576484088446,-0.45426102876034286,0.018902962609707686,-0.47523783228710853,-0.46142334119833156,1.8720767872307953,-0.3404901228636834,2.7114555195591703,-0.40683306447121215
37,-0.4840840219376294,-0.48474271378706907,-0.435755897931564,-0.48474271378706907,-0.4806413008488313,-0.4366600170161455,-0.1436432409676967,-0.45240648376379256,-0.44364639176063864,1.8084320552877473,-0.32693283720557637,2.777483328670976,-0.4126597649527101
38,-0.47735693193995193,-0.47880314610208774,-0.42956329230986,-0.47880314610208774,-0.4746805476050539,-0.42951372198725035,-0.22929918896697402,-0.44701782907275256,-0.43749454392740006,1.826216855245486,-0.32017811375128696,2.771605524615389,-0.3951119180961704
